"time","emergence_low","emergence_high"
1.58,117.283155481811,816.135676989132
1.59,116.865822298904,815.636153969946
1.6,116.446339729922,815.124378109453
1.61,116.024773508293,814.600711074962
1.62,115.601187059697,814.065502151477
1.63,115.175641592757,813.519088718457
1.64,114.748196185844,812.961796706485
1.65,114.318907870157,812.393941034735
1.66,113.88783170926,811.815826030112
1.67,113.455020875227,811.227745828875
1.68,113.02052672156,810.629984761535
1.69,112.584398853025,810.022817721766
1.7,112.146685192537,809.406510520048
1.71,111.707432045237,808.781320222719
1.72,111.266684159888,808.147495477082
1.73,110.824484787704,807.505276823183
1.74,110.380875738732,806.854896992856
1.75,109.935897435897,806.196581196581
1.76,109.489588966815,805.530547398712
1.77,109.041988133468,804.857006581564
1.78,108.593131499846,804.176162998859
1.79,108.143054437636,803.488214418995
1.8,107.691791170052,802.79335235857
1.81,107.239374813886,802.091762306596
1.82,106.785837419851,801.383623939802
1.83,106.33121001131,800.669111329407
1.84,105.875522621435,799.948393139732
1.85,105.418804328887,799.221632819004
1.86,104.961083292072,798.488988782681
1.87,104.502386782035,797.750614589622
1.88,104.04274121405,797.006659111402
1.89,103.582172177965,796.257266695064
1.9,103.120704467354,795.502577319588
1.91,102.65836210753,794.742726746334
1.92,102.19516838246,793.977846663727
1.93,101.731145860635,793.208064826402
1.94,101.266316419943,792.433505189066
1.95,100.800701271573,791.654288035279
1.96,100.334320983009,790.870530101367
1.97,99.8671955001388,790.082344695679
1.98,99.399344168516,789.289841813365
1.99,98.9307857538205,788.493128246868
2,98.4615384615385,787.692307692308
2.01,97.9916199559013,786.887480851911
2.02,97.5210473781128,786.078745532667
2.03,97.0498373638923,785.266196741342
2.04,96.578006060364,784.449926776018
2.05,96.1055691423178,783.630025314283
2.06,95.632541827867,782.80657949821
2.07,95.1589388935293,781.979674016256
2.08,94.6847746887519,781.149391182203
2.09,94.2100631499053,780.315811011258
2.1,93.7348178137652,779.479011293416
2.11,93.2590518305049,778.639067664216
2.12,92.7827779762166,777.796053672965
2.13,92.3060086649803,776.950040848551
2.14,91.8287559604987,776.101098762924
2.15,91.3510315873154,775.249295092352
2.16,90.8728469416319,774.394695676515
2.17,90.3942131017402,773.537364575547
2.18,89.9151408380854,772.677364125086
2.19,89.4356406229727,771.814754989411
2.2,88.9557226399332,770.949596212754
2.21,88.4753967927607,770.081945268833
2.22,87.9946727142336,769.211858108694
2.23,87.5135597745325,768.339389206913
2.24,87.0320670893659,767.464591606227
2.25,86.5502035278155,766.587516960651
2.26,86.067977719911,765.708215577139
2.27,85.5853980639452,764.826736455834
2.28,85.1024727335391,763.943127328979
2.29,84.6192096844657,763.057434698515
2.3,84.1356166612431,762.169703872437
2.31,83.6517012035041,761.279978999937
2.32,83.1674706521512,760.388303105382
2.33,82.6829321553048,759.494718121183
2.34,82.1980926740529,758.599264919573
2.35,81.7129589880084,757.70198334335
2.36,81.2275377006819,756.802912235622
2.37,80.7418352446775,755.902089468576
2.38,80.2558578867158,754.999551971326
2.39,79.7696117324926,754.095335756855
2.4,79.2831027313786,753.189475948097
2.41,78.7963366809651,752.282006803176
2.42,78.3093192314622,751.372961739852
2.43,77.8220558899542,750.462373359177
2.44,77.334552024518,749.550273468405
2.45,76.8468128682079,748.636693103187
2.46,76.358843522914,747.721662549054
2.47,75.870648963096,746.805211362239
2.48,75.3822340393987,745.887368389839
2.49,74.8936034821521,744.968161789354
2.5,74.4047619047619,744.047619047619
2.51,73.9157138069917,743.125766999152
2.52,73.4264635781431,742.202631843933
2.53,72.9370155001352,741.278239164639
2.54,72.4473737504893,740.352613943357
2.55,71.9575424052195,739.425780577773
2.56,71.4675254416344,738.497762896889
2.57,70.9773267410517,737.568584176243
2.58,70.4869500914298,736.638267152689
2.59,69.9963991899184,735.706834038717
2.6,69.5056776453308,734.774306536354
2.61,69.0147889805408,733.840705850642
2.62,68.5237366348075,732.906052702724
2.63,68.032523966029,731.970367342531
2.64,67.5411542529279,731.033669561102
2.65,67.0496306971717,730.095978702536
2.66,66.5579564254293,729.157313675598
2.67,66.0661344913658,728.21769296498
2.68,65.5741678775784,727.277134642233
2.69,65.082059497474,726.335656376389
2.7,64.5898121970921,725.393275444265
2.71,64.0974287568735,724.450008740477
2.72,63.6049118933768,723.505872787161
2.73,63.1122642609449,722.560883743416
2.74,62.6194884533228,721.615057414481
2.75,62.1265870052278,720.668409260642
2.76,61.6335623938749,719.720954405894
2.77,61.1404170404575,718.772707646355
2.78,60.6471533115853,717.823683458436
2.79,60.1537735206813,716.873896006797
2.8,59.6602799293382,715.923359152059
2.81,59.1666747486369,714.972086458318
2.82,58.6729601404263,714.020091200442
2.83,58.1791382185675,713.067386371161
2.84,57.6852110501429,712.113984687971
2.85,57.1911806566305,711.15989859984
2.86,56.6970490150458,710.205140293731
2.87,56.2028180590512,709.249721700947
2.88,55.7084896800349,708.293654503301
2.89,55.2140657281593,707.336950139122
2.9,54.7195480133801,706.379619809089
2.91,54.224938306438,705.421674481918
2.92,53.730238339822,704.463124899888
2.93,53.235449808707,703.503981584221
2.94,52.740574371865,702.544254840314
2.95,52.2456136525519,701.583954762839
2.96,51.7505692393697,700.623091240698
2.97,51.2554426871057,699.661673961851
2.98,50.7602355175483,698.699712418017
2.99,50.2649492202812,697.73721590925
3,49.7695852534562,696.774193548387
3.01,49.2741450445452,695.810654265395
3.02,48.7786299910715,694.84660681159
3.03,48.2830414613225,693.882059763748
3.04,47.7873807950427,692.91702152812
3.05,47.2916493041087,691.951500344327
3.06,46.7958482731857,690.985504289167
3.07,46.2999789603675,690.019041280316
3.08,45.8040425977994,689.052119079939
3.09,45.3080403922841,688.084745298205
3.1,44.8119735258724,687.116927396711
3.11,44.3158431564387,686.148672691826
3.12,43.8196504182405,685.179988357943
3.13,43.3233964224646,684.210881430648
3.14,42.8270822577582,683.241358809816
3.15,42.3307089907468,682.271427262624
3.16,41.8342776665386,681.301093426486
3.17,41.3377893092163,680.330363811922
3.18,40.8412449223156,679.359244805348
3.19,40.3446454892921,678.387742671801
3.2,39.8479919739762,677.415863557596
3.21,39.3512853210163,676.443613492914
3.22,38.854526456311,675.47099839433
3.23,38.3577162874302,674.498024067279
3.24,37.8608557040256,673.524696208456
3.25,37.3639455782313,672.551020408163
3.26,36.8669867650537,671.5770021526
3.27,36.3699801027523,670.602646826091
3.28,35.8729264132108,669.627959713268
3.29,35.3758265022985,668.652946001192
3.3,34.8786811602241,667.677610781432
3.31,34.3814911618788,666.701959052084
3.32,33.884257267173,665.725995719752
3.33,33.3869802213633,664.749725601472
3.34,32.889660755372,663.773153426599
3.35,32.392299586099,662.796283838642
3.36,31.8948974167256,661.819121397057
3.37,31.3974549370115,660.841670579005
3.38,30.8999728235842,659.863935781056
3.39,30.4024517402213,658.885921320861
3.4,29.9048923381268,657.907631438789
3.41,29.4072952561996,656.929070299509
3.42,28.9096611212966,655.950241993558
3.43,28.411990548489,654.971150538851
3.44,27.9142841413122,653.991799882173
3.45,27.4165424920108,653.012193900622
3.46,26.9187661817766,652.032336403033
3.47,26.4209557809816,651.052231131357
3.48,25.9231118494056,650.071881762017
3.49,25.4252349364581,649.091291907225
3.5,24.9273255813953,648.110465116279
3.51,24.4293843135317,647.12940487682
3.52,23.9314116524469,646.148114616067
3.53,23.4334081081879,645.166597702025
3.54,22.9353741814662,644.184857444661
3.55,22.4373103638506,643.202897097052
3.56,21.9392171379556,642.220719856519
3.57,21.4410949776252,641.238328865721
